Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,097047,2018,08,06,13.4,1,N
IDCJAC0009,097047,2018,08,07,19.4,1,N
IDCJAC0009,097047,2018,08,08,22.0,1,N
IDCJAC0009,097047,2018,08,09,11.4,1,N
IDCJAC0009,097047,2018,08,10,0.8,1,N
IDCJAC0009,097047,2018,08,11,22.6,1,N
IDCJAC0009,097047,2018,08,12,9.8,1,N
IDCJAC0009,097047,2018,08,13,17.2,1,N
IDCJAC0009,097047,2018,08,14,2.0,1,N
IDCJAC0009,097047,2018,08,15,9.4,1,N
IDCJAC0009,097047,2018,08,16,17.2,1,N
IDCJAC0009,097047,2018,08,17,5.4,1,N
IDCJAC0009,097047,2018,08,18,32.0,1,N
IDCJAC0009,097047,2018,08,19,23.6,1,N
IDCJAC0009,097047,2018,08,20,4.2,1,N
IDCJAC0009,097047,2018,08,21,12.6,1,N
IDCJAC0009,097047,2018,08,22,6.2,1,N
IDCJAC0009,097047,2018,08,23,0.4,1,N
IDCJAC0009,097047,2018,08,24,1.2,1,N
IDCJAC0009,097047,2018,08,25,0.2,1,N
IDCJAC0009,097047,2018,08,26,0.0,,N
IDCJAC0009,097047,2018,08,27,12.0,1,N
IDCJAC0009,097047,2018,08,28,2.8,1,N
IDCJAC0009,097047,2018,08,29,0.2,1,N
IDCJAC0009,097047,2018,08,30,0.2,1,N
IDCJAC0009,097047,2018,08,31,5.2,1,N
IDCJAC0009,097047,2018,09,01,10.8,1,N
IDCJAC0009,097047,2018,09,02,4.6,1,N
IDCJAC0009,097047,2018,09,03,0.4,1,N
IDCJAC0009,097047,2018,09,04,0.2,1,N
IDCJAC0009,097047,2018,09,05,0.0,,N
IDCJAC0009,097047,2018,09,06,3.0,1,N
IDCJAC0009,097047,2018,09,07,16.2,1,N
IDCJAC0009,097047,2018,09,08,1.0,1,N
IDCJAC0009,097047,2018,09,09,15.2,1,N
IDCJAC0009,097047,2018,09,10,2.4,1,N
IDCJAC0009,097047,2018,09,11,1.8,1,N
IDCJAC0009,097047,2018,09,12,14.2,1,N
IDCJAC0009,097047,2018,09,13,14.2,1,N
IDCJAC0009,097047,2018,09,14,5.2,1,N
IDCJAC0009,097047,2018,09,15,6.4,1,N
IDCJAC0009,097047,2018,09,16,13.8,1,N
IDCJAC0009,097047,2018,09,17,10.4,1,N
IDCJAC0009,097047,2018,09,18,2.4,1,N
IDCJAC0009,097047,2018,09,19,14.0,1,N
IDCJAC0009,097047,2018,09,20,4.4,1,N
IDCJAC0009,097047,2018,09,21,4.0,1,N
IDCJAC0009,097047,2018,09,22,1.6,1,N
IDCJAC0009,097047,2018,09,23,6.2,1,N
IDCJAC0009,097047,2018,09,24,1.2,1,N
IDCJAC0009,097047,2018,09,25,0.2,1,N
IDCJAC0009,097047,2018,09,26,0.2,1,N
IDCJAC0009,097047,2018,09,27,0.0,,N
IDCJAC0009,097047,2018,09,28,5.4,1,N
IDCJAC0009,097047,2018,09,29,5.8,1,N
IDCJAC0009,097047,2018,09,30,5.4,1,N
IDCJAC0009,097047,2018,10,01,0.0,,N
IDCJAC0009,097047,2018,10,02,0.0,,N
IDCJAC0009,097047,2018,10,03,4.2,1,N
IDCJAC0009,097047,2018,10,04,0.6,1,N
IDCJAC0009,097047,2018,10,05,0.0,,N
IDCJAC0009,097047,2018,10,06,0.0,,N
IDCJAC0009,097047,2018,10,07,0.0,,N
IDCJAC0009,097047,2018,10,08,0.0,,N
IDCJAC0009,097047,2018,10,09,8.0,1,N
IDCJAC0009,097047,2018,10,10,1.8,1,N
IDCJAC0009,097047,2018,10,11,0.2,1,N
IDCJAC0009,097047,2018,10,12,0.0,,N
IDCJAC0009,097047,2018,10,13,0.0,,N
IDCJAC0009,097047,2018,10,14,0.0,,N
IDCJAC0009,097047,2018,10,15,0.0,,N
IDCJAC0009,097047,2018,10,16,0.8,1,N
IDCJAC0009,097047,2018,10,17,0.2,1,N
IDCJAC0009,097047,2018,10,18,13.0,1,N
IDCJAC0009,097047,2018,10,19,12.4,1,N
IDCJAC0009,097047,2018,10,20,8.0,1,N
IDCJAC0009,097047,2018,10,21,0.0,,N
IDCJAC0009,097047,2018,10,22,1.2,1,N
IDCJAC0009,097047,2018,10,23,0.4,1,N
IDCJAC0009,097047,2018,10,24,3.8,1,N
IDCJAC0009,097047,2018,10,25,0.4,1,N
IDCJAC0009,097047,2018,10,26,2.8,1,N
IDCJAC0009,097047,2018,10,27,6.0,1,N
IDCJAC0009,097047,2018,10,28,7.2,1,N
IDCJAC0009,097047,2018,10,29,0.2,1,N
IDCJAC0009,097047,2018,10,30,0.0,,N
IDCJAC0009,097047,2018,10,31,5.0,1,N
IDCJAC0009,097047,2018,11,01,0.0,,N
IDCJAC0009,097047,2018,11,02,9.4,1,N
IDCJAC0009,097047,2018,11,03,12.6,1,N
IDCJAC0009,097047,2018,11,04,2.8,1,N
IDCJAC0009,097047,2018,11,05,3.0,1,N
IDCJAC0009,097047,2018,11,06,3.2,1,N
IDCJAC0009,097047,2018,11,07,6.2,1,N
IDCJAC0009,097047,2018,11,08,7.8,1,N
IDCJAC0009,097047,2018,11,09,6.6,1,N
IDCJAC0009,097047,2018,11,10,5.6,1,N
IDCJAC0009,097047,2018,11,11,2.6,1,N
IDCJAC0009,097047,2018,11,12,0.6,1,N
IDCJAC0009,097047,2018,11,13,0.0,,N
IDCJAC0009,097047,2018,11,14,0.6,1,N
IDCJAC0009,097047,2018,11,15,2.8,1,N
IDCJAC0009,097047,2018,11,16,0.0,,N
IDCJAC0009,097047,2018,11,17,0.0,,N
IDCJAC0009,097047,2018,11,18,0.0,,N
IDCJAC0009,097047,2018,11,19,0.0,,N
IDCJAC0009,097047,2018,11,20,0.0,,N
IDCJAC0009,097047,2018,11,21,40.6,1,N
IDCJAC0009,097047,2018,11,22,9.2,1,N
IDCJAC0009,097047,2018,11,23,8.2,1,N
IDCJAC0009,097047,2018,11,24,0.0,,N
IDCJAC0009,097047,2018,11,25,0.0,,N
IDCJAC0009,097047,2018,11,26,0.0,,N
IDCJAC0009,097047,2018,11,27,0.2,1,N
IDCJAC0009,097047,2018,11,28,1.8,1,N
IDCJAC0009,097047,2018,11,29,0.0,,N
IDCJAC0009,097047,2018,11,30,0.2,1,N
IDCJAC0009,097047,2018,12,01,0.0,,N
IDCJAC0009,097047,2018,12,02,17.2,1,N
IDCJAC0009,097047,2018,12,03,17.0,1,N
IDCJAC0009,097047,2018,12,04,16.8,1,N
IDCJAC0009,097047,2018,12,05,1.6,1,N
IDCJAC0009,097047,2018,12,06,0.0,,N
IDCJAC0009,097047,2018,12,07,0.0,,N
IDCJAC0009,097047,2018,12,08,2.2,1,N
IDCJAC0009,097047,2018,12,09,0.2,1,N
IDCJAC0009,097047,2018,12,10,0.2,1,N
IDCJAC0009,097047,2018,12,11,0.0,,N
IDCJAC0009,097047,2018,12,12,0.0,,N
IDCJAC0009,097047,2018,12,13,2.0,1,N
IDCJAC0009,097047,2018,12,14,0.6,1,N
IDCJAC0009,097047,2018,12,15,0.4,1,N
IDCJAC0009,097047,2018,12,16,2.6,1,N
IDCJAC0009,097047,2018,12,17,12.6,1,N
IDCJAC0009,097047,2018,12,18,2.2,1,N
IDCJAC0009,097047,2018,12,19,8.2,1,N
IDCJAC0009,097047,2018,12,20,6.4,1,N
IDCJAC0009,097047,2018,12,21,2.8,1,N
IDCJAC0009,097047,2018,12,22,0.0,,N
IDCJAC0009,097047,2018,12,23,0.4,1,N
IDCJAC0009,097047,2018,12,24,0.0,,N
IDCJAC0009,097047,2018,12,25,0.0,,N
IDCJAC0009,097047,2018,12,26,0.0,,N
IDCJAC0009,097047,2018,12,27,0.0,,N
IDCJAC0009,097047,2018,12,28,1.0,1,N
IDCJAC0009,097047,2018,12,29,4.2,1,N
IDCJAC0009,097047,2018,12,30,0.0,,N
IDCJAC0009,097047,2018,12,31,0.0,,N
