,ts,rainfall,rainfall,wind
206,2019-07-27 08:23:01.806,0,0,3
207,2019-07-27 08:33:02.307,0,0,35
208,2019-07-27 08:43:02.323,0,0,21
209,2019-07-27 08:53:02.421,0,0,39
210,2019-07-27 09:03:02.520,0,0,7
211,2019-07-27 09:13:02.601,0,0,46
212,2019-07-27 09:23:02.715,0,0,410
213,2019-07-27 09:33:02.810,0,0,402
214,2019-07-27 09:43:02.903,0,0,271
215,2019-07-27 09:53:02.995,0,0,570
216,2019-07-27 10:03:02.823,0,0,593
217,2019-07-27 10:13:03.205,0,0,762
218,2019-07-27 10:23:03.308,0,0,596
219,2019-07-27 10:33:03.602,0,0,736
220,2019-07-27 10:43:03.708,0,0,1129
221,2019-07-27 10:53:03.474,0,0,860
222,2019-07-27 11:03:03.762,0,0,551
223,2019-07-27 11:13:03.779,0,0,686
224,2019-07-27 11:23:03.880,0,0,840
225,2019-07-27 11:33:03.971,0,0,1064
226,2019-07-27 11:43:04.060,0,0,983
227,2019-07-27 11:53:04.168,0,0,1351
228,2019-07-27 12:03:04.265,0,0,1700
229,2019-07-27 12:13:04.363,0,0,1689
230,2019-07-27 12:23:04.452,0,0,1942
231,2019-07-27 12:33:04.294,0,0,1878
232,2019-07-27 12:43:04.381,0,0,1648
233,2019-07-27 12:53:04.779,0,0,1418
234,2019-07-27 13:03:04.845,0,0,931
235,2019-07-27 13:13:05.517,0,0,1587
236,2019-07-27 13:23:05.023,0,0,1585
237,2019-07-27 13:33:05.136,0,0,1012
238,2019-07-27 13:43:05.283,0,0,1024
239,2019-07-27 13:53:05.398,0,0,855
240,2019-07-27 14:03:05.474,0,0,896
241,2019-07-27 14:13:05.683,0,0,625
242,2019-07-27 14:23:05.537,0,0,870
243,2019-07-27 14:33:05.692,0,0,970
244,2019-07-27 14:43:06.063,0,0,671
245,2019-07-27 14:53:06.121,0,0,884
246,2019-07-27 15:03:06.190,0,0,757
247,2019-07-27 15:13:06.280,0,0,952
248,2019-07-27 15:23:06.350,0,0,1157
249,2019-07-27 15:33:06.437,0,0,766
250,2019-07-27 15:43:06.515,0,0,1008
251,2019-07-27 15:53:06.530,0,0,1579
252,2019-07-27 16:03:06.523,0,0,560
253,2019-07-27 16:13:06.250,0,0,373
254,2019-07-27 16:23:06.623,0,0,693
255,2019-07-27 16:33:06.797,0,0,1088
256,2019-07-27 16:43:06.911,0,0,876
257,2019-07-27 16:53:07.011,0,0,586
258,2019-07-27 17:03:06.786,0,0,1195
259,2019-07-27 17:13:07.191,0,0,1127
260,2019-07-27 17:23:07.280,0,0,1051
261,2019-07-27 17:33:07.348,0,0,474
262,2019-07-27 17:43:07.420,0,0,215
263,2019-07-27 17:53:07.523,0,0,325
264,2019-07-27 18:03:07.590,0,0,1188
265,2019-07-27 18:13:07.900,0,0,519
